City,State,Lat,Lng
Tula de Allende,Hidalgo,20.05,-99.35
Matehuala,San Luis Potosí,23.6528,-100.6444
Ciudad Rio Bravo,Tamaulipas,25.9861,-98.0889
San Luis de la Paz,Guanajuato,21.2986,-100.5164
Playas de Rosarito,Baja California,32.3422,-117.0561
San Felipe del Progreso,México,19.7125,-99.9511
Ixmiquilpan,Hidalgo,20.4819,-99.2181
Tamazunchale,San Luis Potosí,21.2667,-98.7833
Paraiso,Tabasco,18.3961,-93.2128
Rincon de Romos,Aguascalientes,22.2333,-102.3167
Ocotlan,Jalisco,20.3467,-102.7744
San Jose del Rincon Centro,México,19.6606,-100.1525
Santa Cruz Xoxocotlan,Oaxaca,17.0264,-96.7333
Teziutlan,Puebla,19.8178,-97.3667
Coatepec,Veracruz,19.4522,-96.9614
Tultepec,México,19.685,-99.1281
Agua Prieta,Sonora,31.3258,-109.5489
Ciudad de Atlixco,Puebla,18.9,-98.45
San Francisco,Sonora,30.7841,-112.518
Jilotepec,México,19.9519,-99.5328
Salinas Victoria,Nuevo León,25.9667,-100.3
Santa Rosa Jauregui,Querétaro,20.7418,-100.4473
Guasave,Sinaloa,25.5655,-108.4718
Apaseo el Grande,Guanajuato,20.5531,-100.6347
Ciudad Mante,Tamaulipas,22.7333,-98.95
Tuxpam de Rodriguez Cano,Veracruz,20.95,-97.4
Acayucan,Veracruz,17.9422,-94.9103
La Piedad,Michoacán,20.3333,-102.0167
La Trinidad,Chiapas,15.9833,-91.8667
Apizaco,Tlaxcala,19.4167,-98.1333
Xicotepec de Juarez,Puebla,20.3,-97.9667
Salina Cruz,Oaxaca,16.1833,-95.2
Tecate,Baja California,32.5722,-116.6403
Tala,Jalisco,20.6667,-103.7
Maravatio de Ocampo,Michoacán,19.8976,-100.45
San Andres Cholula,Puebla,19.05,-98.3
Patzcuaro,Michoacán,19.5164,-101.6097
Ciudad Lerdo,Durango,25.55,-103.5167
Juventino Rosas,Guanajuato,20.65,-101.0
Ciudad Lazaro Cardenas,Michoacán,17.9561,-102.1922
Sahuayo de Morelos,Michoacán,20.05,-102.7333
Villa Victoria,México,19.4333,-100.0
Huebampo,Sonora,26.7228,-109.4856
Cozumel,Quintana Roo,20.5104,-86.9493
Tecamachalco,Puebla,18.8667,-97.7167
Tacambaro de Codallos,Michoacán,19.2356,-101.4569
Cadereyta Jimenez,Nuevo León,25.6,-100.0
Frontera,Coahuila,26.926,-101.449
Juchitan de Zaragoza,Oaxaca,16.4333,-95.0167
Silao,Guanajuato,20.9478,-101.4281
San Francisco del Rincon,Guanajuato,21.0228,-101.86
Tejupilco,México,18.9058,-100.1528
Linares,Nuevo León,24.8597,-99.5647
San Miguel de Allende,Guanajuato,20.9142,-100.7436
San Juan de los Lagos,Jalisco,21.2458,-102.3308
Los Reyes de Salgado,Michoacán,19.5833,-102.4667
Rioverde,San Luis Potosí,21.93,-99.98
Ixtaczoquitlan,Veracruz,18.85,-97.0667
Purisima de Bustos,Guanajuato,21.0333,-101.8667
Jacona de Plancarte,Michoacán,19.9333,-102.3167
Yuriria,Guanajuato,20.2,-101.15
Mineral de la Reforma,Hidalgo,20.15,-98.4333
Valle Hermoso,Tamaulipas,25.6736,-97.8144
Zapotlanejo,Jalisco,20.6228,-103.0689
Cabo San Lucas,Baja California Sur,22.8897,-109.9156
Ixtlahuacan de los Membrillos,Jalisco,20.35,-103.1833
La Barca,Jalisco,20.2833,-102.5667
Tepotzotlan,México,19.7161,-99.2236
Santa Catarina Otzolotepec,Puebla,18.5667,-97.25
Heroica Caborca,Sonora,30.7167,-112.15
Zihuatanejo,Guerrero,17.6444,-101.5511
Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,21.1516,-100.9369
San Mateo Atenco,México,19.2667,-99.5333
Ramos Arizpe,Coahuila,25.55,-100.9667
Ocoyoacac,México,19.2739,-99.4606
Torreon,Coahuila,25.5419,-103.4083
Jocotitlan,México,19.7072,-99.7867
Jiquilpan de Juarez,Michoacán,19.9942,-102.7172
Autlan de Navarro,Jalisco,19.7667,-104.3667
Coyula,Jalisco,20.6586,-103.2264
Sabinas,Coahuila,27.9167,-101.3
Santo Domingo Tehuantepec,Oaxaca,16.3244,-95.2389
Apaseo el Alto,Guanajuato,20.45,-100.6167
Santiago Tianguistenco,México,19.1797,-99.4706
Misantla,Veracruz,19.9333,-96.85
Guamuchil,Sinaloa,25.4639,-108.0794
Teoloyucan,México,19.7442,-99.1811
Puerto Penasco,Sonora,31.3167,-113.5369
Cortazar,Guanajuato,20.4828,-100.9611
Valle de Bravo,México,19.1925,-100.1306
Huatusco,Veracruz,19.1489,-96.9661
Atotonilco el Alto,Jalisco,20.5333,-102.5
Huehuetoca,México,19.8342,-99.2033
Altamira,Tamaulipas,22.3375,-97.8694
Huauchinango,Puebla,20.1767,-98.0528
Balancan,Tabasco,17.8,-91.5333
Temascalcingo,México,19.9147,-100.0036
Zempoala,Hidalgo,19.9153,-98.6689
Jerez de Garcia Salinas,Zacatecas,22.6481,-102.9903
Santiago Tuxtla,Veracruz,18.4653,-95.3025
Cosamaloapan,Veracruz,18.3667,-95.8
Alvarado,Veracruz,18.7811,-95.7572
Tezonapa,Veracruz,18.6,-96.6833
Acambay,México,19.9539,-99.8431
Acambaro,Guanajuato,20.0361,-100.7314
Uman,Yucatán,20.8833,-89.75
Chiapa de Corzo,Chiapas,16.7069,-93.0139
Nuevo Casas Grandes,Chihuahua,30.4167,-107.9167
Oxchuc,Chiapas,16.7833,-92.2833
Tequisquiapan,Querétaro,20.5206,-99.8958
Ixhuatlan de Madero,Veracruz,20.6833,-98.0167
Encarnacion de Diaz,Jalisco,21.5167,-102.2333
Pinotepa,Oaxaca,16.3412,-98.0537
Simojovel de Allende,Chiapas,17.15,-92.7167
San Jose Villa de Allende,México,19.3747,-100.1475
Tizimin,Yucatán,21.1425,-88.1647
Tlacotepec,Puebla,18.6882,-97.6489
Taxco de Alarcon,Guerrero,18.5564,-99.605
Uriangato,Guanajuato,20.1333,-101.1667
Acatzingo,Puebla,18.9817,-97.7822
Huamantla,Tlaxcala,19.3133,-97.9228
Palenque,Chiapas,17.4333,-91.8
Uman,Yucatán,20.8833,-89.75
Zumpango,México,19.7969,-99.0992
Francisco I. Madero,Coahuila,25.7753,-103.2731
Tepeapulco,Hidalgo,19.7856,-98.5517
San Pedro,Coahuila,25.7578,-102.9831
Santa Lucia del Camino,Oaxaca,17.0667,-96.7
Catemaco,Veracruz,18.4167,-95.1167
Cintalapa de Figueroa,Chiapas,16.6978,-93.7203
Valladolid,Yucatán,20.6894,-88.2017
Jimenez,Chihuahua,27.13,-104.9067
San Pedro Mixtepec,Oaxaca,16.0,-97.1169
Colonia del Sol,Baja California Sur,22.9125,-109.9208
Cuetzalan,Puebla,20.0333,-97.5167
Ocosingo,Chiapas,16.9072,-92.0961
Pabellon de Arteaga,Aguascalientes,22.15,-102.2667
Buena Vista Tomatlan,Michoacán,19.2102,-102.5869
Chenalho,Chiapas,16.9333,-92.5667
Calimaya,México,19.1608,-99.6172
Santiago,Nuevo León,25.4333,-100.1333
Teotihuacan,México,19.6897,-98.8608
Santa Ana Chiautempan,Tlaxcala,19.3167,-98.1833
San Francisco de los Romo,Aguascalientes,22.0833,-102.2667
La Independencia,Chiapas,16.2526,-92.0237
Tlalmanalco,México,19.2044,-98.8025
Acaxochitlan,Hidalgo,20.1667,-98.2
Santa Maria Huatulco,Oaxaca,15.85,-96.3333
Guacharachi,Chihuahua,27.15,-107.3167
Cuautepec de Hinojosa,Hidalgo,20.15,-98.4333
Ciudad de Huajuapam de Leon,Oaxaca,17.8,-97.7667
Montemorelos,Nuevo León,25.1872,-99.8267
Tres Valles,Veracruz,18.1667,-96.0167
Meoqui,Chihuahua,28.2722,-105.4819
Jalacingo,Veracruz,19.8,-97.3
Petatlan,Guerrero,17.5383,-101.2739
Tlajomulco de Zuniga,Jalisco,20.4736,-103.4431
Zongolica,Veracruz,18.6667,-97.0
Ciudad Constitucion,Baja California Sur,25.0322,-111.6703
Pedro Celestino Negrete,Durango,24.726,-102.984
Loreto,Zacatecas,22.2667,-101.9833
Actopan,Veracruz,19.5036,-96.6192
Isla,Veracruz,18.0333,-95.5333
Hueyapan de Ocampo,Veracruz,18.15,-95.15
Villa de Zaachila,Oaxaca,16.9508,-96.7492
Ocozocoautla de Espinosa,Chiapas,16.7625,-93.375
Jesus Maria,Aguascalientes,21.9667,-102.35
Tepalcatepec,Michoacán,19.1833,-102.85
Atenco,México,19.5167,-98.9167
Tecoanapa,Guerrero,16.8,-99.15
Acatlan de Perez Figueroa,Oaxaca,18.5333,-96.6
Jocotepec,Jalisco,20.2863,-103.4304
Coyuca de Catalan,Guerrero,18.3256,-100.6992
Santa Maria Atzompa,Oaxaca,17.1014,-96.7778
Coyotepec,México,19.75,-99.1711
Jaltipan de Morelos,Veracruz,17.9703,-94.7144
Tezoyuca,México,19.5903,-98.9083
Yajalon,Chiapas,17.1833,-92.3167
Camargo,Chihuahua,27.667,-105.167
Cihuatlan,Jalisco,19.25,-104.5667
Heroica Ciudad de Tlaxiaco,Oaxaca,17.2077,-97.6798
Zimapan,Hidalgo,20.7333,-99.3833
Yecapixtla,Morelos,18.8833,-98.865
Matias Romero,Oaxaca,16.8667,-95.0333
Temascal,Oaxaca,18.2394,-96.4031
Villa del Carbon,México,19.7272,-99.5417
Apan,Hidalgo,19.7,-98.4333
Playa Vicente,Veracruz,17.8333,-95.8167
Axochiapan,Morelos,18.5,-98.75
Nueva Rosita,Coahuila,27.9372,-101.2172
Ciudad Melchor Muzquiz,Coahuila,27.8667,-101.5
Galeana,Nuevo León,24.8333,-100.0667
Juan Rodriguez Clara,Veracruz,18.0,-95.4
Empalme,Sonora,27.9617,-110.8125
Zacatelco,Tlaxcala,19.2167,-98.2333
Santa Clara del Cobre,Michoacán,19.405,-101.638
San Felipe Orizatlan,Hidalgo,21.1719,-98.6064
Xico,Veracruz,19.417,-97.0
Zacualtipan,Hidalgo,20.65,-98.65
Cananea,Sonora,30.9828,-110.3017
Tlapa de Comonfort,Guerrero,17.5461,-98.5764
San Juan Cancuc,Chiapas,16.9333,-92.3833
Ameca,Jalisco,20.5486,-104.0431
Tlalixcoyan,Veracruz,18.8031,-96.0611
Calpulalpan,Tlaxcala,19.5869,-98.5683
Jalapa,Tabasco,17.7,-92.8
Mixquiahuala de Juarez,Hidalgo,20.2311,-99.2131
Melchor Ocampo,México,19.7083,-99.1444
Villaflores,Chiapas,16.2355,-93.2677
Tuxpan,Jalisco,19.5539,-103.3756
Perote,Veracruz,19.5619,-97.2419
Paracho de Verduzco,Michoacán,19.65,-102.0667
Progreso,Yucatán,21.2828,-89.6636
Mariano Escobedo,Veracruz,18.9167,-97.1333
Salvatierra,Guanajuato,20.2156,-100.8961
Ciudad Manuel Doblado,Guanajuato,20.7303,-101.9533
Sayula,Jalisco,19.8667,-103.6167
Jaral del Progreso,Guanajuato,20.3667,-101.0667
Tomatlan,Jalisco,19.9369,-105.25
Santiago Juxtlahuaca,Oaxaca,17.3333,-98.0167
Coatepec Harinas,México,18.9,-99.7167
Zacatepec,Morelos,18.6833,-99.1833
Berriozabal,Chiapas,16.8003,-93.2733
Miahuatlan de Porfirio Diaz,Oaxaca,16.3167,-96.5833
Tamuin,San Luis Potosí,22.0,-98.7833
Tonala,Chiapas,16.0914,-93.7518
Ciudad de Allende,Nuevo León,25.2833,-100.0167
Tangancicuaro de Arista,Michoacán,19.887,-102.208
Soteapan,Veracruz,18.2333,-94.8667
Rio Grande,Zacatecas,23.8225,-103.0361
Tenosique,Tabasco,17.4756,-91.4225
Ocuilan de Arteaga,México,19.0,-99.4
Santa Ana Nextlalpan,México,19.7167,-99.0667
La Huacana,Michoacán,18.9625,-101.8069
Tepeji del Rio de Ocampo,Hidalgo,19.9039,-99.3414
Acatlan de Osorio,Puebla,18.2086,-98.0575
San Juan Evangelista,Veracruz,17.8833,-95.1333
Parras de la Fuente,Coahuila,25.4403,-102.1792
Zacatlan,Puebla,19.9319,-97.96
Tlanchinol,Hidalgo,19.9892,-98.6786
Ixtapan de la Sal,México,18.8333,-99.6833
Paso de Ovejas,Veracruz,19.285,-96.44
Tulum,Quintana Roo,20.2119,-87.4658
Panuco,Veracruz,22.05,-98.1833
Temascalapa,México,19.8,-98.9
Villanueva,Zacatecas,22.3536,-102.8831
San Felipe,Guanajuato,21.4833,-101.2167
Ticul,Yucatán,20.3953,-89.5339
Sayula de Aleman,Veracruz,17.8833,-94.95
Putla Villa de Guerrero,Oaxaca,17.0167,-97.9167
Nueva Italia de Ruiz,Michoacán,19.0194,-102.1089
Huixtla,Chiapas,15.1383,-92.4658
Ciudad Sabinas Hidalgo,Nuevo León,26.5,-100.1833
Paso del Macho,Veracruz,18.9667,-96.7167
Turicato,Michoacán,19.05,-101.4167
El Oro de Hidalgo,México,19.8008,-100.1314
Amatenango de la Frontera,Chiapas,15.5333,-92.0833
Amecameca de Juarez,México,19.75,-99.1711
Tecozautla,Hidalgo,20.5333,-99.6333
Cuauhtemoc,Colima,19.3281,-103.6028
Tequila,Jalisco,20.8828,-103.8367
Tancitaro,Michoacán,19.3378,-102.3625
Rodolfo Sanchez Taboada,Baja California,31.7958,-116.5911
Champoton,Campeche,19.35,-90.7167
Juanacatlan,Jalisco,20.5,-103.1667
Capulhuac,México,19.2,-99.4667
Jonuta,Tabasco,18.0833,-92.1333
Escuinapa,Sinaloa,22.835,-105.778
Tepetlaoxtoc,México,19.5731,-98.8203
Magdalena de Kino,Sonora,30.6167,-111.05
Temascaltepec de Gonzalez,México,19.0433,-100.0414
Huatabampo,Sonora,27.05,-109.4167
San Salvador El Seco,Puebla,19.1333,-97.65
Ometepec,Guerrero,16.6833,-98.4167
Nanchital de Lazaro Cardenas del Rio,Veracruz,18.0667,-94.4167
Villa Donato Guerra,México,19.3083,-100.1422
Xalatlaco,México,19.1811,-99.4164
Escarcega,Campeche,18.6067,-90.7344
Juchitepec,México,19.0997,-98.8792
San Rafael,Veracruz,20.1889,-96.8658
Actopan,Hidalgo,20.2681,-98.9442
Zapotiltic,Jalisco,19.627,-103.417
San Fernando,Tamaulipas,24.8504,-98.16
Ozumba,México,19.0392,-98.7936
Teapa,Tabasco,17.5483,-92.953
Reforma,Chiapas,17.8658,-93.1472
Ursulo Galvan,Veracruz,19.4,-96.3
Abasolo,Guanajuato,20.45,-101.517
Las Rosas,Chiapas,16.3667,-92.35
Navolato,Sinaloa,24.7656,-107.7019
San Salvador,Hidalgo,20.2833,-99.0153
Ciudad Sahagun,Hidalgo,19.7714,-98.5803
Cuitzeo del Porvenir,Michoacán,19.9686,-101.1394
Zacoalco de Torres,Jalisco,20.2333,-103.5833
Metepec,México,19.2511,-99.6047
Tetela de Ocampo,Puebla,19.8167,-97.8
Xochistlahuaca,Guerrero,16.7914,-98.2419
San Felipe Jalapa de Diaz,Oaxaca,18.0667,-96.5333
Nochistlan de Mejia,Zacatecas,21.3642,-102.8464
Quiroga,Michoacán,19.6667,-101.5333
Villa Luvianos,México,18.92,-100.2983
Motozintla,Chiapas,15.3632,-92.2477
Tlalpujahua de Rayon,Michoacán,19.805,-100.1744
Soledad de Doblado,Veracruz,19.05,-96.4167
Atlautla,México,19.0,-98.7167
San Juan Guichicovi,Oaxaca,16.9667,-95.0833
Contla,Tlaxcala,19.3333,-98.1667
Apaxco de Ocampo,México,19.98,-99.17
Los Reyes de Juarez,Puebla,18.9458,-97.8058
Tuxpan,Michoacán,19.5661,-100.4625
Jalpan,Querétaro,21.2167,-99.4725
Castanos,Coahuila,26.7833,-101.4167
Cueramaro,Guanajuato,20.6258,-101.6739
Tepehuacan de Guerrero,Hidalgo,21.0131,-98.8442
San Agustin Tlaxiaca,Hidalgo,20.1144,-98.8867
Villagran,Guanajuato,20.517,-100.983
Amatepec,México,18.65,-100.15
Nava,Coahuila,28.4214,-100.7675
Atitalaquia,Hidalgo,20.0583,-99.2208
Acapetahua,Chiapas,15.2333,-92.7667
Paracuaro,Michoacán,19.1467,-102.2194
Tlaxcoapan,Hidalgo,20.0953,-99.22
Miacatlan,Morelos,18.7722,-99.3547
Cuajinicuilapa,Guerrero,16.4717,-98.4153
Tecolutla,Veracruz,20.4797,-97.01
Jaltenco,México,19.7511,-99.0931
Tehuipango,Veracruz,18.5167,-97.05
Santiago Papasquiaro,Durango,25.0439,-105.4192
Tuxpan,Nayarit,21.8667,-105.45
Huaquechula,Puebla,18.7667,-98.55
Puerto Escondido,Oaxaca,15.8619,-97.0672
Ciudad Altamirano,Guerrero,18.3472,-100.6531
Tecax,Yucatán,20.2019,-89.2881
Felipe Carrillo Puerto,Quintana Roo,19.5786,-88.0453
Huejotzingo,Puebla,19.1619,-98.4064
Arriaga,Chiapas,16.2361,-93.8995
Pinal de Amoles,Querétaro,21.1342,-99.4586
Acatlan,Jalisco,20.2333,-103.5333
Atlatlahucan,Morelos,18.935,-98.9
Miahuatlan,Puebla,18.5667,-97.4333
Alamo,Veracruz,20.9167,-97.675
Santa Maria Tonameca,Oaxaca,15.7458,-96.5472
Sultepec,México,18.8667,-99.95
Hunucma,Yucatán,21.0153,-89.8744
Ixhuatlancillo,Veracruz,18.9,-97.15
Jamay,Jalisco,20.29,-102.71
Zumpango del Rio,Guerrero,17.65,-99.5
Carlos A. Carrillo,Veracruz,18.3667,-95.75
Amatan,Chiapas,17.3667,-92.8167
San Agustin Loxicha,Oaxaca,16.0167,-96.6167
Las Margaritas,Chiapas,16.3159,-91.9816
El Salto,Durango,23.7823,-105.3585
Santa Maria Colotepec,Oaxaca,15.8833,-96.9167
Manlio Fabio Altamirano,Veracruz,19.1003,-96.3411
Tantoyuca,Veracruz,21.35,-98.2333
San Miguel Ocotenco,Puebla,19.0666,-97.4525
Ciudad Serdan,Puebla,18.9833,-97.45
Atotonilco el Grande,Hidalgo,20.6667,-98.6667
San Juan Cotzocon,Oaxaca,17.1667,-95.7833
Cazones de Herrera,Veracruz,20.7044,-97.3106
Ahualulco de Mercado,Jalisco,20.6167,-103.8667
Tecali,Puebla,18.9,-97.9667
San Martin Totolan,Michoacán,20.0833,-102.65
Cerro Azul,Veracruz,21.192,-97.7409
General Panfilo Natera,Zacatecas,22.665,-102.1097
San Buenaventura,Coahuila,27.0625,-101.5467
Doctor Mora,Guanajuato,21.1425,-100.3192
La Higuerita,Jalisco,19.5,-104.8833
La Huerta,Jalisco,19.4833,-104.65
Ozuluama de Mascarenas,Veracruz,21.6667,-97.85
Motul,Yucatán,21.1667,-89.4667
Tototlan,Jalisco,20.5333,-102.7833
Soledad Atzompa,Veracruz,18.75,-97.15
Tamiahua,Veracruz,21.2788,-97.4462
Rafael Delgado,Veracruz,18.8167,-97.0667
Oxkutzkab,Yucatán,20.3056,-89.4183
Frontera,Tabasco,18.5336,-92.6469
Malinalco,México,18.9483,-99.4947
Naolinco de Victoria,Veracruz,19.6367,-96.8525
San Miguel de Papasquiaro,Durango,24.8304,-105.34
Ojinaga,Chihuahua,29.5644,-104.4164
Tequixquiac,México,19.9097,-99.1417
Yahualica de Gonzalez Gallo,Jalisco,21.1781,-102.886
Tlacolula de Matamoros,Oaxaca,16.9542,-96.4792
Huautla,Hidalgo,21.0308,-98.285
Emiliano Zapata,Tabasco,17.7446,-91.7651
Puente Nacional,Veracruz,19.3333,-96.4833
Acatlan,Hidalgo,20.1444,-98.4383
Yahualica,Hidalgo,20.9531,-98.38
Huejucar,Jalisco,22.3591,-103.2108
Ocatlan,Tlaxcala,19.3167,-98.2283
Chalchihuitan,Chiapas,17.0333,-92.6167
Axapusco,México,19.7194,-98.7972
Pueblo Juarez,Chiapas,17.7,-93.2
Charo,Michoacán,19.75,-101.05
Magdalena,Jalisco,20.9167,-103.95
Chapa de Mota,México,19.8144,-99.5269
Comalapa,Chiapas,15.65,-92.15
Tixtla de Guerrero,Guerrero,17.5667,-99.4
Sombrerete,Zacatecas,23.6333,-103.6397
Ocotlan de Morelos,Oaxaca,16.7914,-96.675
Tlaltenango de Sanchez Roman,Zacatecas,21.7815,-103.3059
Cuilapan de Guerrero,Oaxaca,16.9972,-96.7817
